N,P,K,temperature,humidity,ph,rainfall,crop
10.31,10.83,7.53,22.95,94.58,5.9,141.99,orange
13.77,11.72,14.77,19.12,85.08,5.93,104.63,orange
24.97,14.15,9.34,20.85,89.34,6.22,100.45,orange
21.79,11.13,11.38,20.66,92.14,5.59,109.96,orange
27.55,12.39,5.14,20.73,87.14,5.77,112.38,orange
11.25,9.59,12.33,24.67,91.73,5.58,147.57,orange
26.77,13.05,13.23,28.26,90.44,5.7,130.84,orange
24.86,12.38,10.21,18.75,88.71,6.42,129.22,orange
20.77,7.69,8.68,27.85,91.66,6.29,122.72,orange
22.6,117.45,197.64,21.41,78.85,6.65,97.45,grapes
11.28,134.74,187.31,21.66,70.44,6.3,80.11,grapes
11.12,124.73,203.18,16.58,85.29,6.41,86.21,grapes
15.2,114.78,184.01,16.06,73.71,6.66,95.27,grapes
26.28,130.55,182.76,19.34,76.2,6.25,80.6,grapes
20.71,120.71,188.84,27.43,85.79,6.31,96.55,grapes
29.06,119.8,188.86,22.58,88.82,6.88,64.1,grapes
17.85,126.6,192.58,17.91,87.18,6.68,93.52,grapes
27.18,132.45,190.98,24.16,73.21,6.67,67.17,grapes
23.88,116.89,182.94,17.48,70.04,6.72,89.3,grapes
20.3,114.84,182.09,15.29,73.31,6.89,69.66,grapes
17.09,113.16,185.56,22.79,82.16,6.25,62.31,grapes
17.82,117.03,185.49,29.4,82.33,6.56,76.63,grapes
18.58,126.23,197.41,25.53,73.43,6.5,76.48,grapes
27.41,128.94,193.31,16.73,82.11,6.12,73.49,grapes
12.86,130.76,185.16,20.88,87.91,6.2,80.31,grapes
18.39,110.54,199.82,16.04,79.49,6.56,85.14,grapes
23.77,117.6,180.25,25.85,80.71,6.84,92.86,grapes
26.87,124.55,188.34,26.87,79.03,6.18,94.2,grapes
27.65,123.99,181.89,20.82,86.07,6.9,68.14,grapes
11.34,136.32,189.74,23.13,89.36,6.07,85.93,grapes
11.48,121.26,200.1,21.5,89.94,6.56,72.85,grapes
14.4,120.52,189.31,16.03,77.39,6.46,88.91,grapes
23.13,131.26,180.21,18.27,83.23,6.48,60.21,grapes
26.09,133.18,193.71,16.0,85.33,6.58,91.28,grapes
25.03,134.09,192.95,17.1,83.42,6.62,89.69,grapes
13.4,115.85,202.26,26.25,88.16,6.76,83.89,grapes
23.08,136.67,194.47,24.49,73.13,6.47,88.66,grapes
15.42,116.07,187.85,18.62,74.3,6.42,96.31,grapes
20.14,115.64,181.92,25.44,77.66,6.82,86.38,grapes
25.92,118.16,197.31,18.96,88.78,6.64,72.98,grapes
15.39,115.73,197.37,18.28,81.91,6.26,86.48,grapes
26.3,133.34,199.02,17.82,71.77,6.7,74.73,grapes
18.65,110.93,186.49,15.51,87.58,6.24,82.29,grapes
10.78,130.01,188.08,28.47,87.76,6.33,96.04,grapes
29.92,134.76,201.12,18.74,81.53,6.07,63.8,grapes
29.98,119.8,198.7,27.1,87.16,7.0,69.66,grapes
10.81,122.34,183.25,15.34,77.21,6.78,82.65,grapes
16.26,129.63,185.8,15.22,85.29,6.62,90.49,grapes
10.78,135.11,195.49,23.45,82.49,6.86,83.48,grapes
21.62,139.72,198.92,21.63,84.15,6.39,69.16,grapes
21.94,137.85,203.23,20.13,80.55,6.21,99.83,grapes
29.62,129.49,200.11,25.73,81.86,6.05,78.19,grapes
23.5,130.33,189.33,29.13,73.35,6.5,87.64,grapes
23.94,129.46,186.88,17.34,82.72,6.6,67.17,grapes
24.1,123.66,196.69,27.56,73.39,6.02,91.16,grapes
22.19,130.99,200.95,27.04,89.22,6.54,79.54,grapes
18.04,114.61,194.32,19.16,88.43,6.58,83.71,grapes
17.1,111.56,180.79,21.35,71.69,6.61,95.24,grapes
27.66,129.77,185.28,27.94,87.72,6.2,89.5,grapes
111.46,54.08,29.94,15.15,87.95,5.62,109.07,potato
118.6,55.42,11.25,16.68,71.34,5.98,103.59,potato
134.1,58.14,11.7,16.93,71.42,5.21,83.03,potato
118.76,38.06,12.02,15.84,72.95,5.97,101.58,potato
138.71,43.19,15.57,18.99,76.53,5.3,83.14,potato
105.19,37.69,17.11,18.37,71.25,5.21,103.32,potato
105.88,40.28,27.29,15.77,71.65,5.48,85.58,potato
122.54,54.11,12.74,17.9,80.11,5.14,96.84,potato
110.95,44.64,11.65,17.3,76.13,5.82,76.99,potato
116.74,43.75,24.5,17.87,83.34,5.78,105.18,potato
112.56,46.14,26.8,19.95,87.79,5.37,81.83,potato
119.58,52.25,19.85,17.42,86.76,5.36,105.09,potato
116.27,39.85,19.08,18.81,72.52,5.2,108.3,potato
107.02,47.03,21.59,17.45,82.89,5.23,94.34,potato
114.89,49.85,12.82,17.85,73.71,5.28,82.65,potato
107.31,54.77,15.71,19.64,89.4,5.57,80.01,potato
114.98,53.93,17.35,15.44,81.14,5.85,102.86,potato
107.0,50.18,14.41,16.09,87.48,5.25,84.21,potato
100.03,56.12,25.85,18.14,85.01,5.15,91.04,potato
114.05,32.81,19.72,19.6,70.8,5.29,82.26,potato
109.53,57.25,19.36,17.33,85.21,5.15,92.05,potato
117.2,47.91,29.99,18.85,77.96,5.83,80.97,potato
101.22,36.13,16.81,17.55,82.3,5.91,92.84,potato
120.05,31.51,10.7,17.76,78.76,5.84,80.62,potato
101.0,43.47,14.75,15.25,84.49,5.11,96.29,potato
111.24,35.2,17.6,19.01,77.84,5.75,79.39,potato
130.91,37.11,23.55,17.83,88.58,5.39,77.32,potato
100.77,54.81,20.49,18.88,74.69,5.35,76.05,potato
138.46,50.04,28.66,16.33,82.23,5.68,86.11,potato
133.92,58.41,27.7,18.7,75.55,5.28,108.72,potato
100.41,51.48,24.12,18.11,89.8,5.31,86.9,potato
103.16,43.28,15.22,16.72,86.69,5.94,81.5,potato
114.9,57.86,11.24,15.46,73.26,5.6,80.27,potato
138.72,43.4,20.03,16.23,79.42,5.66,101.29,potato
130.15,47.34,28.09,19.09,85.14,5.06,75.24,potato
108.5,49.91,18.22,17.01,87.69,5.9,106.82,potato
112.56,50.73,15.43,15.95,73.69,5.34,90.05,potato
133.24,33.6,24.7,17.66,75.76,5.49,85.5,potato
123.84,43.02,13.29,15.58,80.93,5.9,87.04,potato
129.32,49.76,28.63,19.1,81.33,5.66,106.44,potato
115.98,39.8,10.22,19.13,86.02,5.1,95.19,potato
118.56,33.56,29.61,16.07,71.34,5.59,100.86,potato
101.3,49.76,20.65,15.52,73.45,5.57,85.37,potato
137.53,54.56,29.67,16.3,89.39,5.43,87.16,potato
102.01,31.58,23.84,17.29,74.53,5.61,83.85,potato
123.11,40.78,26.47,19.1,79.55,5.35,87.69,potato
132.23,39.85,14.18,15.42,79.33,5.48,104.43,potato
108.85,41.43,26.17,19.12,77.69,5.46,85.62,potato
137.3,33.56,28.67,18.42,80.63,5.03,91.65,potato
116.31,34.84,23.13,19.86,81.24,5.71,77.4,potato
76.71,33.49,48.38,26.57,73.24,6.08,94.19,tomato
82.03,42.1,55.01,25.7,72.24,6.37,90.21,tomato
64.23,40.65,42.4,24.73,73.16,6.07,95.81,tomato
67.27,34.7,54.82,20.29,68.38,6.17,115.17,tomato
82.28,36.94,45.07,25.12,79.16,6.22,115.45,tomato
97.37,57.49,49.06,24.41,68.06,6.75,101.25,tomato
87.1,42.85,51.94,25.77,62.93,6.83,101.61,tomato
93.79,42.94,41.37,26.41,65.02,6.84,99.36,tomato
80.56,39.25,47.19,22.28,60.79,6.27,80.26,tomato
99.13,58.97,41.85,25.1,66.92,6.67,112.22,tomato
97.87,42.01,53.5,21.86,79.81,6.03,104.14,tomato
86.38,50.64,33.61,26.57,63.62,6.62,88.91,tomato
72.29,46.39,42.52,21.12,63.42,6.42,110.29,tomato
95.92,32.52,41.79,20.7,60.33,6.66,104.1,tomato
66.52,37.01,30.71,25.84,79.49,6.14,89.26,tomato
94.74,57.79,42.59,20.35,60.79,6.57,95.72,tomato
61.15,47.5,30.34,25.51,66.13,6.04,103.53,tomato
75.91,59.21,46.33,21.93,74.19,6.27,116.17,tomato
74.99,46.5,31.52,22.98,76.65,6.81,88.97,tomato
69.04,54.52,57.91,20.67,69.0,6.34,114.83,tomato
63.34,36.33,52.57,20.36,69.85,6.44,93.38,tomato
75.78,45.9,34.84,24.0,76.11,6.76,86.16,tomato
65.97,38.05,40.83,22.86,73.59,6.06,81.39,tomato
75.68,50.91,35.8,24.49,65.2,6.89,115.83,tomato
71.89,36.9,42.34,21.68,73.45,6.83,106.92,tomato
92.97,41.91,34.69,25.17,67.21,6.67,90.83,tomato
63.25,59.78,34.69,26.92,79.55,6.79,106.38,tomato
83.11,55.98,38.68,23.27,72.39,6.41,97.1,tomato
73.21,46.93,55.52,21.41,78.69,6.69,112.93,tomato
82.25,53.39,30.49,25.73,60.8,6.89,119.68,tomato
71.76,36.31,52.96,21.77,77.31,6.1,85.04,tomato
99.17,50.22,55.41,22.27,73.53,6.59,104.13,tomato
87.3,47.26,42.87,21.93,75.37,6.23,107.69,tomato
69.33,48.76,52.41,21.53,61.2,6.13,104.24,tomato
93.98,31.35,52.02,22.39,69.57,6.93,93.28,tomato
78.61,30.41,32.45,21.81,60.56,6.63,97.06,tomato
81.93,35.24,38.88,24.65,79.31,6.05,115.62,tomato
83.08,46.92,45.01,20.49,61.8,6.6,93.64,tomato
96.69,42.2,34.3,25.0,65.87,6.53,107.91,tomato
96.01,53.77,50.29,24.76,78.92,6.3,80.04,tomato
70.88,36.54,49.86,24.44,71.87,6.02,109.15,tomato
72.94,49.95,46.7,22.4,62.69,6.09,113.26,tomato
96.74,49.49,33.1,22.81,74.58,6.78,84.73,tomato
60.0,51.36,40.7,21.78,60.26,6.54,114.05,tomato
98.31,46.97,45.43,20.6,70.98,6.38,104.29,tomato
75.55,37.21,32.85,22.2,61.93,6.18,119.49,tomato
77.76,45.96,56.21,26.97,71.65,6.81,93.08,tomato
72.23,42.08,50.18,24.78,66.3,6.13,105.3,tomato
65.13,47.35,50.8,24.9,75.07,6.87,100.0,tomato
89.21,48.58,35.6,20.18,65.69,6.44,104.68,tomato
57.0,23.92,22.51,23.6,57.16,6.48,87.57,onion
50.83,21.72,21.14,14.16,66.71,6.54,77.01,onion
52.76,36.4,20.83,18.48,68.79,6.25,79.23,onion
52.27,37.96,36.2,19.41,69.6,6.36,89.23,onion
49.32,23.8,34.03,19.12,62.17,6.91,70.63,onion
46.32,21.14,35.33,20.72,61.63,6.68,81.88,onion
55.13,29.08,28.25,23.28,60.02,6.12,87.54,onion
59.39,27.56,21.24,16.73,65.12,6.16,89.74,onion
59.95,29.03,27.09,17.41,57.3,6.88,82.44,onion
47.75,33.19,28.84,20.13,56.23,6.81,98.22,onion
52.98,39.09,23.03,18.25,67.04,6.58,82.04,onion
46.76,22.54,27.83,14.79,69.69,6.21,71.76,onion
51.05,31.9,37.44,19.35,61.91,6.8,86.21,onion
41.59,31.32,38.16,17.36,60.93,6.14,74.54,onion
48.66,31.91,21.61,23.34,70.1,6.59,94.85,onion
41.6,29.54,32.6,22.12,70.67,6.28,98.23,onion
42.49,37.5,39.42,14.95,69.44,6.04,82.16,onion
50.33,31.61,38.72,20.39,64.63,6.81,98.52,onion
40.44,39.65,21.72,21.96,60.61,6.13,83.2,onion
52.88,27.62,21.09,19.59,73.05,6.38,76.49,onion
48.85,20.97,36.41,22.09,66.76,6.35,93.99,onion
51.09,36.52,32.63,21.63,66.97,6.41,98.74,onion
50.82,32.1,24.41,19.88,66.43,6.18,71.79,onion
52.09,35.27,30.47,15.49,68.33,6.08,83.26,onion
43.27,23.69,24.05,17.25,56.02,6.4,85.35,onion
49.67,27.66,36.78,14.6,65.11,6.06,72.13,onion
51.48,31.32,37.56,19.14,74.2,6.05,72.94,onion
40.88,23.71,30.83,20.1,55.91,6.95,95.26,onion
45.93,21.54,23.4,14.4,57.47,6.52,77.38,onion
47.16,39.79,33.69,23.44,57.85,6.38,86.64,onion
41.54,20.08,33.41,20.06,63.22,6.49,82.46,onion
40.48,26.71,23.54,14.08,74.13,6.6,91.86,onion
46.31,27.86,24.74,14.07,58.58,6.8,90.33,onion
50.94,29.5,38.45,13.8,60.61,6.35,93.47,onion
59.85,24.81,37.49,22.14,59.49,6.4,82.29,onion
59.56,23.62,35.98,16.68,69.62,6.42,87.35,onion
56.65,36.08,37.33,13.66,68.84,6.14,82.47,onion
50.97,28.05,30.39,23.96,57.7,6.68,81.88,onion
42.66,23.17,38.99,22.68,73.14,6.99,76.25,onion
47.11,33.38,29.68,17.6,62.16,6.59,87.27,onion
43.23,29.43,31.07,19.27,59.2,6.74,70.76,onion
47.1,35.6,31.28,15.87,68.9,6.57,93.89,onion
54.7,32.2,29.76,14.47,60.23,6.42,87.98,onion
50.27,25.76,20.13,18.46,60.71,6.73,70.72,onion
51.7,38.83,23.49,18.19,56.83,6.63,86.52,onion
48.15,30.43,37.93,15.16,55.45,6.86,87.31,onion
57.81,31.94,36.2,17.73,70.0,6.91,87.16,onion
43.62,25.38,23.97,15.72,61.13,6.56,87.64,onion
48.53,32.31,21.63,13.97,58.44,6.52,76.42,onion
45.67,28.01,36.24,13.15,67.99,6.67,93.96,onion
48.66,55.5,68.84,23.29,16.88,6.56,51.58,chickpea
43.58,78.29,89.92,20.8,14.31,6.88,36.23,chickpea
34.62,77.43,71.4,13.31,12.07,6.86,47.5,chickpea
43.5,60.98,83.95,21.4,14.69,6.41,40.24,chickpea
49.53,71.14,88.36,14.55,21.73,6.77,52.29,chickpea
49.31,64.84,68.27,20.08,20.94,6.58,40.17,chickpea
40.09,62.8,75.69,19.68,21.18,6.23,45.13,chickpea
35.38,59.97,84.58,23.64,15.55,6.75,57.42,chickpea
46.92,59.57,88.91,15.65,15.09,6.06,47.15,chickpea
32.18,61.21,72.92,22.13,23.13,6.3,56.47,chickpea
47.14,74.12,68.67,20.35,24.18,6.68,43.29,chickpea
40.01,71.14,77.76,11.8,14.68,6.8,56.54,chickpea
32.75,78.81,73.22,19.93,21.28,6.81,58.64,chickpea
36.26,76.46,68.29,20.58,21.13,6.68,41.31,chickpea
47.46,59.22,66.34,20.76,17.13,6.85,44.58,chickpea
33.37,75.91,78.72,12.84,20.81,6.51,50.11,chickpea
39.22,75.72,85.74,20.64,11.58,6.84,51.78,chickpea
43.94,64.07,86.98,20.88,11.69,6.41,57.16,chickpea
30.94,79.04,81.98,19.47,14.06,6.25,58.55,chickpea
35.97,74.39,74.83,12.09,10.16,6.54,59.39,chickpea
37.38,63.93,73.6,17.81,16.61,6.88,47.64,chickpea
40.16,58.46,89.57,13.75,11.1,6.66,49.88,chickpea
38.3,65.55,84.63,12.94,22.3,6.65,45.47,chickpea
39.16,61.42,83.8,17.69,14.81,6.6,59.89,chickpea
38.71,78.02,73.63,10.82,13.06,6.42,40.49,chickpea
30.0,77.88,86.1,21.13,12.52,6.12,36.69,chickpea
44.48,78.22,75.76,11.79,17.69,6.35,44.37,chickpea
42.43,72.97,67.77,10.53,24.91,6.23,36.35,chickpea
33.8,55.97,74.8,22.04,15.12,6.44,51.89,chickpea
40.18,76.54,86.65,10.15,21.67,6.46,59.72,chickpea
39.66,79.67,83.86,13.73,18.08,6.99,56.44,chickpea
31.95,72.66,73.64,10.1,16.05,6.23,55.47,chickpea
36.75,75.69,65.01,14.62,13.62,6.23,36.7,chickpea
33.74,68.89,72.28,16.26,15.65,6.88,57.63,chickpea
39.86,63.25,67.67,24.3,10.9,6.3,42.45,chickpea
36.41,59.11,84.58,11.84,19.52,6.12,36.76,chickpea
48.19,59.75,85.53,18.17,11.17,6.96,41.17,chickpea
47.19,59.22,86.35,10.2,17.68,6.77,58.37,chickpea
48.18,75.49,87.2,12.99,14.26,6.29,44.43,chickpea
37.87,68.61,69.0,20.37,12.51,6.31,47.58,chickpea
45.93,73.49,81.14,12.34,18.21,6.09,44.43,chickpea
38.27,56.0,71.85,24.33,24.3,6.35,36.08,chickpea
33.58,64.81,88.69,12.12,21.45,6.11,59.53,chickpea
37.63,74.38,73.56,19.42,12.88,6.15,58.45,chickpea
48.35,77.19,80.64,22.12,11.04,6.33,42.84,chickpea
42.71,63.9,68.71,18.95,22.22,6.38,38.31,chickpea
33.93,60.94,72.5,19.64,19.01,6.7,44.06,chickpea
46.48,60.1,76.73,22.01,12.7,6.11,57.09,chickpea
36.86,72.1,65.63,20.35,14.74,6.06,50.25,chickpea
34.82,64.67,67.01,12.21,14.47,6.09,57.77,chickpea
80.24,29.68,22.46,19.85,68.52,5.24,177.95,coffee
88.23,34.83,30.93,23.31,61.08,5.8,131.73,coffee
86.65,38.33,26.56,20.23,65.2,5.51,177.12,coffee
109.52,31.95,37.62,18.3,55.14,5.7,133.62,coffee
109.76,38.38,28.48,20.05,69.23,5.67,149.34,coffee
94.07,38.19,31.38,22.57,66.24,5.51,146.02,coffee
113.94,27.27,35.88,23.65,62.46,6.11,168.31,coffee
113.8,27.9,21.03,20.41,63.48,5.68,164.94,coffee
94.28,32.69,23.73,22.5,60.91,5.31,137.51,coffee
109.94,29.65,24.32,23.8,64.3,6.44,145.63,coffee
99.0,37.96,30.5,22.24,55.04,5.67,127.41,coffee
88.24,20.02,20.79,23.86,54.85,5.99,170.35,coffee
102.03,23.06,34.56,21.6,64.63,6.15,178.52,coffee
102.94,26.83,32.97,18.41,67.95,5.18,139.67,coffee
112.63,31.95,27.87,20.84,67.09,5.51,172.18,coffee
83.53,35.54,36.95,19.09,58.61,5.25,162.4,coffee
101.41,32.71,23.93,19.27,50.83,5.48,153.58,coffee
114.32,33.34,28.71,23.72,64.38,6.4,151.66,coffee
90.36,21.06,34.52,18.73,56.06,5.8,153.86,coffee
104.02,23.33,27.59,21.7,69.4,6.09,175.36,coffee
110.49,31.83,23.84,22.0,62.47,5.9,149.39,coffee
101.15,26.69,30.39,19.19,66.1,5.28,125.1,coffee
97.45,33.17,28.75,19.66,61.16,5.52,175.97,coffee
116.91,30.05,26.56,22.42,50.73,5.71,140.18,coffee
116.82,20.24,31.06,22.44,59.7,5.13,178.35,coffee
100.72,32.28,24.73,20.9,58.58,5.11,126.37,coffee
113.5,24.8,23.9,21.03,65.37,5.09,154.61,coffee
84.77,20.73,21.05,23.0,52.36,5.07,146.27,coffee
113.76,25.25,28.43,18.24,58.98,5.87,154.25,coffee
93.3,26.31,22.13,20.2,51.99,6.15,177.98,coffee
118.8,37.3,32.02,22.21,55.7,5.95,147.34,coffee
99.28,35.16,25.64,19.91,68.49,5.08,149.14,coffee
116.51,32.21,30.93,19.5,56.87,6.28,153.55,coffee
100.59,21.99,20.32,23.78,57.54,5.9,124.78,coffee
107.32,38.65,31.51,18.76,61.63,6.15,144.38,coffee
115.19,32.97,37.98,21.74,52.63,5.46,132.11,coffee
116.35,35.21,33.53,19.81,53.68,6.13,148.45,coffee
89.03,32.33,20.81,19.96,59.37,5.22,179.08,coffee
88.36,22.61,24.07,22.61,58.51,5.85,121.26,coffee
81.38,28.92,36.33,23.31,51.73,5.81,174.79,coffee
95.52,36.59,22.67,23.61,65.03,6.41,160.6,coffee
94.54,38.76,25.51,19.99,64.02,6.15,175.76,coffee
88.19,35.96,34.77,18.38,57.74,5.42,138.27,coffee
119.32,32.86,34.35,23.86,57.54,6.2,146.07,coffee
114.78,23.61,38.95,19.31,56.52,6.13,143.63,coffee
104.33,28.89,34.85,19.37,51.17,5.45,148.46,coffee
86.72,27.1,28.0,18.34,61.67,6.33,129.1,coffee
103.91,33.29,28.39,22.21,58.21,5.76,120.44,coffee
107.67,33.23,20.77,20.21,69.58,5.63,150.12,coffee
116.4,34.35,31.64,22.79,67.29,5.69,148.51,coffee
37.72,29.67,26.97,15.83,87.26,5.22,156.88,tea
40.99,24.17,28.78,17.04,86.53,5.34,155.46,tea
49.44,25.13,22.91,19.69,87.16,4.96,169.27,tea
32.58,22.98,27.8,19.72,74.55,4.75,183.27,tea
48.8,23.43,29.88,19.85,73.58,5.84,196.04,tea
44.19,29.84,20.5,15.97,84.41,4.92,168.43,tea
30.79,20.22,27.74,16.34,79.35,5.41,192.84,tea
30.54,27.84,20.11,22.62,87.87,5.15,203.55,tea
39.54,23.89,28.87,23.94,76.72,5.42,242.69,tea
49.24,25.09,24.53,17.79,89.18,4.71,207.98,tea
35.65,22.79,24.05,24.99,71.1,5.37,158.26,tea
33.09,24.4,25.1,17.59,76.33,4.63,180.32,tea
49.33,29.45,23.35,20.71,88.19,4.51,231.07,tea
48.97,20.91,21.61,24.61,80.75,4.52,175.76,tea
39.0,26.93,27.33,24.95,75.75,5.31,203.33,tea
38.11,21.69,29.77,23.53,79.97,5.4,172.73,tea
40.88,26.95,25.15,24.9,82.23,5.06,227.22,tea
33.41,23.85,23.47,19.32,85.64,5.23,229.4,tea
41.53,23.42,28.1,17.38,74.49,5.26,176.08,tea
30.18,26.48,25.11,19.46,89.34,5.36,236.34,tea
32.79,25.69,28.68,20.83,84.36,5.06,159.24,tea
39.16,23.94,28.67,17.44,89.33,5.94,174.76,tea
36.96,28.96,29.67,19.43,76.42,5.29,218.78,tea
35.47,27.36,20.52,15.49,77.73,5.03,181.56,tea
39.82,23.21,21.92,18.09,89.5,5.12,194.47,tea
41.53,29.83,22.42,21.81,84.32,5.41,158.86,tea
43.54,20.64,25.96,22.4,74.22,5.76,153.04,tea
46.88,24.6,22.18,16.34,89.07,4.61,169.91,tea
36.96,26.2,25.45,16.26,75.79,4.86,171.35,tea
38.22,27.04,22.17,18.67,77.82,5.96,245.47,tea
46.0,22.42,20.68,18.17,75.34,5.26,227.77,tea
47.17,28.45,23.6,21.87,76.26,4.59,220.16,tea
30.2,24.09,23.29,21.93,85.32,4.96,231.16,tea
35.88,24.46,27.27,21.93,89.75,4.84,216.23,tea
42.19,29.15,21.56,22.52,81.37,4.91,197.44,tea
36.68,25.79,28.89,20.69,82.63,5.28,155.12,tea
34.66,24.92,23.1,16.82,80.08,4.98,175.81,tea
39.28,21.33,29.28,23.68,84.15,4.66,227.59,tea
46.16,27.68,21.14,21.44,86.69,5.37,214.64,tea
39.17,25.29,20.34,21.39,71.63,5.15,179.27,tea
40.91,21.33,26.92,22.95,73.27,4.66,164.55,tea
47.54,25.28,24.67,16.07,82.99,5.8,232.82,tea
42.52,20.75,21.12,15.49,75.15,4.7,176.0,tea
37.7,29.43,26.1,23.35,84.21,4.67,223.59,tea
35.5,26.39,23.41,24.98,75.27,4.92,243.07,tea
30.49,26.97,27.25,23.36,89.49,5.96,156.53,tea
46.44,26.46,26.47,16.28,83.0,5.97,241.18,tea
38.78,20.4,23.62,23.26,84.03,5.19,155.51,tea
38.54,24.69,29.29,21.41,76.23,5.29,156.61,tea
49.45,23.6,24.78,18.55,83.65,5.49,221.53,tea
70.73,39.47,33.76,26.56,70.8,6.1,193.48,paddy
95.63,43.47,43.78,20.77,83.42,6.32,162.23,paddy
76.85,55.17,56.31,22.43,81.01,5.69,155.09,paddy
96.44,54.62,52.8,20.49,86.87,5.94,167.12,paddy
81.86,32.74,52.7,25.82,73.73,5.69,159.21,paddy
62.28,47.63,55.21,20.17,70.98,6.07,190.97,paddy
73.07,40.49,47.89,22.74,70.53,6.24,181.28,paddy
83.23,52.25,50.26,22.06,77.05,5.63,156.49,paddy
87.05,55.76,58.88,26.28,73.68,5.61,190.64,paddy
83.15,48.55,53.44,27.03,86.69,5.56,187.38,paddy
94.03,38.58,49.21,23.14,89.16,5.53,178.99,paddy
66.66,51.37,35.28,22.35,79.89,6.41,160.59,paddy
65.77,52.77,45.02,29.12,72.93,6.15,161.64,paddy
66.27,50.5,47.81,27.55,76.19,5.95,170.27,paddy
99.36,38.77,38.84,23.55,81.29,5.75,195.76,paddy
70.63,56.87,33.1,26.57,88.14,5.67,198.42,paddy
78.12,58.37,50.3,23.02,73.77,5.8,154.65,paddy
65.75,33.14,42.69,27.96,72.83,5.63,182.17,paddy
67.89,32.93,35.01,29.24,86.43,5.85,182.79,paddy
81.49,50.31,50.48,26.29,75.32,5.54,172.78,paddy
95.64,47.08,54.97,29.92,73.27,6.19,183.71,paddy
99.2,59.57,50.6,22.44,85.97,5.61,189.03,paddy
96.41,41.49,48.92,24.3,78.76,5.81,188.11,paddy
97.45,58.22,35.24,28.75,84.75,5.75,153.36,paddy
70.72,57.37,49.0,27.21,75.14,6.22,151.41,paddy
75.01,48.8,34.38,28.23,74.7,6.15,170.26,paddy
83.84,33.22,30.51,29.1,75.39,6.32,199.97,paddy
68.46,37.96,49.89,29.65,88.32,6.0,189.76,paddy
65.43,59.32,58.93,21.64,75.99,5.6,163.59,paddy
92.64,41.35,32.65,23.42,89.63,6.13,170.81,paddy
66.66,59.59,54.63,22.81,71.4,5.56,156.02,paddy
83.23,57.86,44.9,28.43,78.92,6.21,186.59,paddy
66.96,40.84,49.12,20.71,77.23,6.03,199.81,paddy
78.98,54.48,42.96,27.96,81.91,6.39,170.55,paddy
84.17,48.9,42.52,21.44,71.87,5.52,193.68,paddy
69.46,36.35,52.08,23.2,80.12,5.66,197.99,paddy
94.06,55.91,42.2,27.62,72.88,5.51,151.0,paddy
83.46,43.66,45.54,20.07,78.45,6.22,172.13,paddy
89.29,36.99,54.39,25.88,74.22,5.74,181.4,paddy
93.2,42.47,37.75,28.67,83.39,5.95,174.4,paddy
68.17,48.8,40.76,29.96,79.6,5.99,178.29,paddy
96.67,54.02,43.53,27.19,81.72,5.99,159.62,paddy
78.56,37.37,57.45,23.35,89.05,6.03,181.58,paddy
81.72,33.88,41.27,20.99,82.46,5.95,188.9,paddy
68.82,34.94,42.19,29.27,84.21,5.92,175.86,paddy
63.37,59.54,49.99,22.85,81.72,5.61,198.29,paddy
66.99,49.44,37.36,27.18,85.54,6.17,180.72,paddy
95.7,32.36,39.93,22.48,89.76,5.89,186.63,paddy
87.39,36.36,37.17,22.81,78.22,5.73,150.98,paddy
95.18,58.97,40.25,23.39,70.14,6.18,191.27,paddy
12.93,21.6,27.9,31.16,55.9,6.43,52.36,millet
17.37,27.7,28.11,29.0,73.94,6.11,70.87,millet
19.68,28.98,29.08,25.87,73.73,6.74,71.65,millet
14.02,28.05,28.5,27.89,74.05,5.57,46.0,millet
20.75,25.76,26.45,25.17,74.21,5.57,45.72,millet
10.28,25.67,29.32,31.66,71.45,5.52,61.68,millet
19.19,24.99,20.72,31.84,65.06,6.65,59.41,millet
12.99,26.48,21.72,33.72,67.26,5.74,78.49,millet
20.37,20.73,26.27,27.53,71.07,6.73,79.16,millet
20.04,24.55,27.53,26.32,65.94,6.32,43.58,millet
18.36,28.53,28.56,25.99,56.81,5.89,74.99,millet
12.58,27.2,21.01,31.23,62.12,6.68,49.35,millet
22.78,22.36,27.14,33.74,57.54,6.8,63.74,millet
12.54,24.28,21.61,32.0,70.18,5.66,60.25,millet
26.29,29.36,25.14,34.5,65.71,6.09,73.93,millet
19.86,24.72,24.9,33.47,71.64,6.11,53.33,millet
19.84,25.73,22.38,32.94,64.73,6.0,44.27,millet
14.78,29.49,23.05,26.69,64.21,5.96,41.41,millet
16.46,25.44,25.52,28.57,63.95,6.95,55.09,millet
15.16,22.43,24.58,32.6,59.12,6.56,40.85,millet
18.38,27.76,23.39,30.64,59.1,6.61,42.09,millet
27.05,21.98,28.74,28.53,69.45,5.98,76.24,millet
12.53,21.79,24.93,25.82,58.92,6.92,79.06,millet
17.53,29.23,25.45,27.7,69.05,6.49,79.57,millet
15.3,26.72,20.52,26.14,55.08,7.0,72.09,millet
25.73,25.1,23.0,26.51,60.69,6.06,70.25,millet
20.79,20.77,20.18,26.02,63.21,6.9,65.5,millet
26.04,24.66,23.62,26.08,72.52,6.67,46.72,millet
20.25,24.87,26.25,34.46,66.6,6.31,42.01,millet
11.26,21.87,20.32,32.43,69.47,5.7,73.44,millet
13.1,23.01,22.49,28.72,60.09,6.23,56.3,millet
29.73,20.56,21.42,25.53,67.52,5.58,73.46,millet
